project_id,project_number,project_name,url,land_required_ha,land_available_ha,land_to_be_acquired_ha,land_acquired_ha
37174,MO/2017/37174,2-Lane ROB at L/C No. AB-27 on Manendragarh to Ambikapur Road of NH No.43 at Railway Chainage 937/14-15 on Ambikapur to Bishrampur Railway line near Belbahara (Chhattisgarh) 2-लेन रॉब ात L/स No. AB-२७ ों मनेन्द्रगढ़ तो अंबिकापुर रोड ऑफ़ नह No. No.४३ ात रेलवे चैनगे 937/14-१५ ों अंबिकापुर तो बिश्रामपुर रेलवे लाइन नियर बेलबहरा,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=37174,3.4,1.069,2.33,0.0
37178,MO/2017/37178,construction of 2 lane with paved shoulder from km 0/00 to 87/200 of 248A (Sahapura - Alwar section) in the State of Rajasthan कंस्ट्रक्शन ऑफ़ २ लें लेन विथ पावह शोल्डर फ्रॉम कम 0/०० ओट तो 87/२०० ऑफ़ २४८ ा (साहपुरा - अलवर सेक्शन section) इन थे स्टेट ऑफ़,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=37178,550.0,195.0,355.0,0.0023
38180,MO/2017/38180,Construction of ROB and its approaches at LC No:- 65-B/2-E from Km 131 to 133 of NH-19 रारा -19 (छपरा- मांझी) के किमी 132 पर किमी 65-बी/2ई पर विद्यमान लेवल क्रासिंग के स्थान पर आरओबी और इसके पहुंच मार्गों के निर्माण,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=38180,6.063,3.133,2.93,0.0
40216,MO/2017/40216,Acquisition of land in respect of bypass for Barmer city on NH-15 Jaisalmer-Barmer-Sanchore stretch in Km 144/500 to 160/700 in the state of Rajasthan एक्वज़िषन् आफ् लेन्ड् इन् रिस्पैक्ट् आफ् बैपेस् फौर् बर्मर सिटी आन् ऍन्‌हॆच्‌-15 जैसलमेर-बर्मर-सांचोर स्ट्रैच् इन् केएम 144/500 टू 160/700 इन् द स्टेय्ट आफ् राजस्थान,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=40216,300.0,0.0,300.0,0.0
40218,MO/2017/40218,Acquisition of land in respect of National Highway No. 11 from Km 0.000 ( Fathehpur) to Km 49.000 ( Jhunjhunu) in the state of Rajasthan. राजस्थान राज्य में किमी 0.0 (फतेहपुर) से किमी 49.00 (झुनझुनू) तक राष्ट्रीय राजमार्ग संख्या 11 के बीच भूमि अधिग्रहण।,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=40218,238.0,65.64,172.36,4.112
40238,MO/2017/40238,Widening and strengthening of 2 lane to 2 lane carriage way with paved shoulder from 269/3 to 328/20 including Kuchinda bypass of NH-49. विडेनिंग ाँद स्ट्रेंग्थेनिंग ऑफ़ २ लेन तो २ लेन कैरिज वयवय विथ पवेद शोल्डर फ्रॉम 269/३ तो 328/२० इन्क्लूडिंग कुचिंडा बाईपास ऑफ़ NH-49.,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=40238,16.92,0.0,16.92,0.384055
40239,MO/2017/40239,Construction of Rameshwaram Bypass of NH-49 कंस्ट्रक्शन ऑफ़ रामेश्वरम बाईपास ऑफ़,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=40239,8.597,0.749,7.848,0.0
40240,MO/2017/40240,Construction of Thiruvaiyaru Bypass of NH-226 Extn in the state of Tamil Nadu कंस्ट्रक्शन ऑफ़ तिरुवैयारु बाईपास ऑफ़ NH-२२६ इन थे स्टेट ऑफ़ तमिलनाडु,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=40240,42.3942,0.0,42.3942,0.0
40241,MO/2017/40241,"construction of Atchampathu, Viratipathu Bypass of NH-49 Extn construction ऑफ़ Atchampathu, वीरतिपातु बाईपास ऑफ़ NH-४९",https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=40241,15.7774,0.0,15.7774,0.0
40242,MO/2017/40242,Construction of ROB in lieu of existing level crossing No.17 at Km 22/2 (near Checkkanurani) of NH-49Extn (New NH No. 85) Madurai-Cochin Road in the district of Madurai in the state of Tamil Nadu तमिलनाडु राज्य के मदुरै जिले में एन एच 49E (नया एनएच नंबर 85) मदुरै-कोचीन रोड के किमी 22/2 (चेककनुरानी के पास) पर मौजूदा एलसी नंबर 17 के स्थान पर आरओबी का निर्माण,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=40242,2.515,0.0,2.515,0.0
40243,MO/2017/40243,Construction of ROB in lieu of existing level crossing No.44 at Km 50/3 (near Usilampatti) of NH-49 Extn कंस्ट्रक्शन ऑफ़ रॉब इन लिएउ ऑफ़ एक्सिस्टिंग लेवल क्रासिंग No.४४ ात कम 50/३ (नियर Usilampatti) ऑफ़ NH-49,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=40243,6.5944,0.0,6.5944,0.0
40244,MO/2017/40244,Construction of ROB from km 75.228 to 76.273 in lieu of LC-68 (near Theni)on NH-49Extn in district of Theni in the State of TAMIL NADU तमिलनाडु राज्य के थेनी जिले में एनएच-49 एक्सटेंशन पर एलसी-68 (थेनी के पास) के स्थान पर किमी 75.228 से 76.273 तक आरओबी का निर्माण,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=40244,1.214,0.0,1.214,0.02
40245,MO/2017/40245,Construction of ROB in lieu of existing level crossing No.85 at Km 93/4 (near Bodi) of NH-49 Extn कंस्ट्रक्शन ऑफ़ रॉब इन लिएउ ऑफ़ एक्सिस्टिंग level क्रासिंग No.८५ ात कम 93/४ (नियर Bodi) ऑफ़ NH-49,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=40245,1.8,0.0,1.8,0.0
42271,MO/2017/42271,Acquisition of land in respect of National Highway No. 168A in the state of Rajasthan on the stretch of Design chainage Km 0.000 to Km 11.800 (existing chainage Km 0.000 to Km 12.000) एक्वीजीशन ऑफ़ लैंड इन रेस्पेक्ट ऑफ़ नेशनल हाईवे No. १६८ा इन थे स्टेट ऑफ़ राजस्थान ों थे स्ट्रेच ऑफ़ डिज़ाइन चैनगे कम 0.००० तो कम 11.८०० (एक्सिस्टिंग चैनगे कम 0.००० तो कम 12.000),https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=42271,100.0,50.0,50.0,0.0
45302,MO/2018/45302,Reconstruction with geometric improvement of existing intermediate lane to 2 lane with paved shoulder configuration from Km 28.600 to Km 59.420 (Design Chainage 28.320 to Km 58.603) of NH 94 in the state of uttarakhand on EPC mode under improvement of NH connectivity of Char Dham. रिकंस्ट्रक्शन विथ जियोमेट्रिक इम्प्रूवमेंट ऑफ़ एक्सिस्टिंग इंटरमीडिएट लेन तो २ लेन विथ पवद पवेद शोल्डर कॉन्फ़िगरेशन फ्रॉम कम 28.६०० तो कम 59.४२० (डिज़ाइन चैनगे 28.३२० तो कम 58.६०३ 58.603) ऑफ़ नह ९४ इन थे स्टेट ऑफ़ उत्तराखंड ों एप्स मोड अंडर इम्प्रूवमेंट ऑफ़ नह कनेक्टिविटी ऑफ़ चार,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=45302,20.0,10.0,10.0,0.0
46316,MO/2018/46316,Construction of ROB in lieu of existing level crossing No. 503/SPL-A/3E (at Railway Km 662/800-900) at Km 99.40 (Near Tenkasi) of NH-208 कंस्ट्रक्शन ऑफ़ रॉब इन लिएउ ऑफ़ एक्सिस्टिंग लेवल क्रासिंग No. 503/SPL-A/३े (ात रेलवे कम 662/800-900) ात कम 99.४० (नियर Tenkasi) ऑफ़,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=46316,5.35,2.15,3.2,0.0
47341,MO/2018/47341,Construction of ROB in lieu of existing level crossing No. 86-A/3-E (at Railway Km 107.030) at Km 103.4 (near Ettivadi) of NH-234 in the district of TIRUVANNAMALAI in the state of TAMIL NADU तमिलनाडु राज्य के तिरुवन्नामलाई में एनएच -234 के किमी 103.4 (एट्टीवाडी के पास) पर मौजूदा समपार संख्या 86-ए / 3-ई (रेलवे किमी 107.030 पर) के स्थान पर आरओबी का निर्माण,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=47341,15.0,8.8,6.2,0.0
49361,MO/2018/49361,Construction of ROB at Km 137.800 (near Uchipulli) in lieu of existing LC No. 518/SPL-A/3E at Railway Km 636.300 - 400 of NH-49 कंस्ट्रक्शन ऑफ़ रॉब ात कम 137.८०० (नियर Uchipulli) इन लिएउ ऑफ़ एक्सिस्टिंग लक No. 518/SPL-A/३े ात रेलवे कम 636.३०० - ४०० ऑफ़,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=49361,7.12,6.44,0.68,0.0
50372,MO/2018/50372,Construction of ROB and its approaches in replacement of existing level crossing at Km 12 of NH 103 (Hajipur- Mushrigharari) in state of Bihar. रारा - 103 (हाजीपुर-मुशरिघरारी) के किमी 12 में विद्यमान लेवल क्रासिंग के स्थान पर आरओबी और इसके पहुंच मार्गों के निर्माण,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=50372,10.0,1.917,8.083,0.0
51379,MO/2018/51379,Acquistion of land in respect of under construction of Ghorghat RCC H.L. Bridge and approach road ( towards Munger ) in km 94 of the National Highway No. 80 in Munger district of the state of Bihar . बिहार राज्य के मुंगेर जिले में राष्ट्रीय राजमार्ग संख्या 80 के कि0मी0 94 में घोरघट आर0 सी0 सी0 उच्चस्तरीय पुल एवं पहुंच पथ (मुंगेर तरफ ) निर्माण हेतु भूमि अर्जन,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51379,1.0,0.0,1.0,0.0
51412,MO/2018/51412,Construction of Vellore and Gudiyatham bypass of NH-234 in the district of Vellore in the state of Tamil Nadu. तमिलनाडु राज्य के वेल्लोर जिले में NH-234 के वेल्लोर और गुडियाथम बाईपास का निर्माण।,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51412,265.0,0.87,264.13,0.3551
51442,MO/2018/51442,Construction of Bhagalpur Bypass from km 124.175 to 140.200 of NH 80 in the state of Bihar under EPC mode. बिहार राज्य के भागलपुर जिला में राष्ट्रीय राजमार्ग संख्या -८० के किमी 124.175 से किमी 140.200 तक ( भागलपुर बाईपास सेक्शन ) तक पर भू - अर्जन,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51442,2.0,0.0,2.0,0.0
51453,MO/2018/51453,Development to four lanes with paved shoulders of Jalandhar- Hoshiarpur section of NH-70 (New NH-03) from existing Km 11/400 to Km 49.200 including construction of Hoshiarpur Bypass in the State of Punjab पंजाब,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51453,152.12,136.0,16.12,0.0
51463,MO/2018/51463,Widening and strengthening of 2 lane to two lane carriageway with paved shoulder from km 173/370 to 229/400 विडेनिंग एंड स्ट्रेंग्थेनिंग ऑफ़ २ लेन तो तवो लेन कार्रिअगेवय विथ पवेद शोल्डर फ्रॉम कम 173/३७० तो 229/४००,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51463,14.0,0.0,14.0,0.0
51466,MO/2018/51466,construction of 2-lane combined ROB IN KM 1.10& KM 1.11 On NH 101 at chapra railway crossing in the state of Bihar on EPC mode. बिहार राज्य के छपरा में EPC मोड आधारित राष्ट्रीय राज्य मार्ग संख्या -101 के किमी 1.10 और किमी 1.11 के रेलवे क्रासिंग पर दो लेन संयुक्त आर.ओ. बी के निर्माण.,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51466,7.0,3.804,3.196,0.0
51473,MO/2018/51473,construction of major bridge & its approaches over river urmil at km188/4 on NH-86 sagar chhatarpur road in the state of madhya pradesh कंस्ट्रक्शन ऑफ़ मेजर ब्रिज & इट्स अप्प्रोचेस ओवर रिवर उर्मिल at km188/४ ऑन NH-८६ सागर छतरपुर रोड इन थे स्टेट ऑफ़ मध्य प्रदेश,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51473,1.709,0.0,1.709,0.0
51474,MO/2018/51474,construction of major bridge over dhasan river at km146/6-8 on NH-86ext. sanchi sagar road in the state of madhya pradesh कंस्ट्रक्शन ऑफ़ मेजर ब्रिज ओवर धसान रिवर at km146/6-८ ऑन NH-86ext. साँची सागर रोड इन थे स्टेट ऑफ़ मध्य प्रदेश,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51474,1.89,0.97,0.92,0.0
51475,MO/2018/51475,construction of Bada malhera bypass on NH-34 (old NH-86) sagar chhatarpur road in chhatarpur district in the state of madhya pradesh कंस्ट्रक्शन ऑफ़ बड़ा मलहरा बाईपास ऑन NH-३४ (ओल्ड NH-86) सागर छतरपुर रोड इन छतरपुर डिस्ट्रिक्ट इन थे स्टेट ऑफ़ मध्य प्रदेश,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51475,25.358,0.0,25.358,0.0
51476,MO/2018/51476,widening of road to 2-lane with paved shoulder from km1 to km73/2 on NH-26A sagar -khurai -bina road in the state of madhya pradesh विडेनिंग ऑफ़ रोड तो 2-लेन विथ पवेद शोल्डर फ्रॉम कम्य१ तो km73/२ ऑन NH-26A सागर -खुरई -बिना रोड इन थे स्टेट ऑफ़ मध्य प्रदेश,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51476,79.02,20.02,59.0,0.0
51479,MO/2018/51479,Rehabilitation & upgradation to 2-lane with paved shoulder from km131 to km189/4 on NH-86 sagar chhatarpur road in the state of madhya pradesh रिहैबिलिटेशन & अपग्रडेशन तो 2-लेन विथ पवेद शोल्डर फ्रॉम km131 तो km189/४ ऑन NH-८६ सागर छतरपुर रोड इन थे स्टेट ऑफ़ मध्य प्रदेश,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51479,103.32,90.531,12.789,0.0
51483,MO/2018/51483,Widening of road to 2-lane with paved shoulder i/c Construction of Bridges & Culvert in km 182 to 266/6 (Design length 81.60km) on NH 59A (INDORE BETUL ROAD) in the state of madhya pradesh on EPC Mode. विडेनिनगॉफ फोरड तो 2-लेन विथ पवेद शोल्डर i/स कंस्ट्रक्शन ऑफ़ ब्रिड्जस & कल्वर्ट इन कम १८२ तो 266/६ (डिज़ाइन लेंथ 81.60) ों NH ५९ा (इंदौर बैतूल ROAD) इन इन थे स्टेट ऑफ़ ऑफ़ मध्य प्रदेश ों EPC,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51483,142.2,84.439,57.761,0.731
51484,MO/2018/51484,construction of sagar bypass from NH-26 to NH-146 (old NH-86ext) in sagar district in the state of madhya pradesh कंस्ट्रक्शन ऑफ़ सागर बाईपास फ्रॉम NH-२६ तो NH-१४६ (ओल्ड NH-86ext) इन सागर डिस्ट्रिक्ट इन थे स्टेट ऑफ़ मध्य प्रदेश,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51484,103.185,0.0,103.185,0.0
51485,MO/2018/51485,construction of 4-lane ROB at km14+800 of NH-26A on katni bina railway line at LC-19 on sagar bina road in the state of madhya pradesh कंस्ट्रक्शन ऑफ़ 4-लेन आर ओ बी at km14+८०० ऑफ़ NH-26A ऑन कटनी बिना रेलवे लाइन at LC-१९ ऑन सागर बिना रोड इन थे स्टेट ऑफ़ मध्य प्रदेश,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51485,5.191,1.691,3.5,0.0
51486,MO/2018/51486,Construction of chhatarpur bypass from existing km145+200 of NH-86 to existing km30+200 of NH-75 in chhatarpur district in the state of madhya pradesh कंस्ट्रक्शन ऑफ़ छतरपुर बाईपास फ्रॉम एक्सिस्टिंग km145+२०० ऑफ़ NH-८६ तो एक्सिस्टिंग km30+२०० ऑफ़ NH-७५ इन छतरपुर डिस्ट्रिक्ट इन थे स्टेट ऑफ़ मध्य प्रदेश,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51486,75.0,0.0,75.0,0.0
51487,MO/2018/51487,construction of Harpalpur bypass starting at km91/8 & ending at km92/10 on NH-76 in the state of madhya pradesh & uttar pradesh कंस्ट्रक्शन ऑफ़ हरपालपुर बाईपास स्टार्टिंग at km91/८ & एंडिंग at km92/१० ऑन NH-७६ इन थे स्टेट ऑफ़ मध्य प्रदेश & उत्तर प्रदेश,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51487,46.055,0.0,46.055,0.921
51495,MO/2018/51495,land acquisition Somesar R.O.B. C-67 at NH-162E at k.m. 29.065 K.M. TO K.M. 30.793 in the state of rajasthan . राजस्थान राज्य में राष्ट्रीय राजमार्ग संख्या १६२ ई पर किमी २९.०६५ से ९०.७९३ तक आर.ओ.बी. के निर्माण के लिए भूमि अधिग्रहण।,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51495,20.0,0.0,20.0,0.0
51518,MO/2018/51518,Rehabilitation & upgradation to 2-lane with paved shoulder from km81 to km175 on NH-86ext. sanchi sagar road in the state of madhya pradesh रिहैबिलिटेशन & अपग्रडेशन तो 2-लेन विथ पवेद शोल्डर फ्रॉम km81 तो km175 ऑन NH-86ext. साँची सागर रोड इन थे स्टेट ऑफ़ मध्य प्रदेश,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51518,180.816,140.0,40.816,0.0
51523,MO/2018/51523,Rehabilitation & Upgradation of intermediate lane flexible pavement to 2- lane with paved shoulders Rigid pavement on Pachore - Shujalpur Road from km 2+700 to km 33+000 on Pachore to Shujalpur section of newly declared NH-752-C in the State of Madhya Pradesh on EPC Mode Under NH (O) रिहैबिलिटेशन & अपग्रेडेशन ऑफ़ इंटरमीडिएट लेन फिलेक्सिबल पेवमेंट टू 2- लेन विथ पेवड शोल्डर्स रिजिड पेवमेंट ऑन पचौर - शुजालपुर रोड फ्रम कि.मी. 2.700 टू कि.मी. 33.000 ऑन पचौर - शुजालपुर सेक्शन ऑफ़ न्यूलि डिक्लेयरड NH-752-C इन द स्टे ऑफ़ मध्य प्रदेश ऑन- इपीसी मोड अंडर NH (o).,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51523,414.891,192.105,222.786,4.748
51532,MO/2018/51532,Construction of ROB and its approaches in lieu of existing level crossing No RV-168 (Presently RV-172) at Km 176 on NH-201 (New Km 143 on NH-26) in the district of Kalahandi in the state of Odisha कंस्ट्रक्शन ऊफ रॉब एंड इतस अप्प्रोचेस इन लिएउ ऊफ एक्सिस्टिंग लेवल स्क्रोसिंग नो RV-१६८ (प्रेसेंटली RV-172) ात कम १७६ ो ों NH-२०१ (नई कम १४३ ों NH-26) इन थे डिस्ट्रिक्ट ऑफ़ ऑफ़ कालाहांडी इन थे स्टेट ऑफ़ ऑफ़,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51532,40.0,0.0,40.0,0.7817
51542,MO/2018/51542,Acquistion of land respect of National Highway No.81 in the state of bihar on the Stretch from Km 48.950 to Km 49. 000 (Village Khushalpur ) km 52 . 000 to 52.040 ( Village Sakraili ) and Km 52. 040 to 53.000 (Village Lalganj Teghra English ) बिहार राज्य में राष्ट्रीय राजमार्ग संख्या 81 के कि0मी0 48.950 से कि0मी0 49. 000 (मौजा खुशहालपुर ) कि0मी0 52 . 000 से 52.040 (सकरैली ) तथा कि0मी0 52. 040 से कि0मी0 53.000 (लालगंज तैघरा ईंगलीश) तक की बाबत भूमि का अर्जन,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51542,4.425,0.0,4.425,0.0101
51546,MO/2018/51546,Construction of ROB and its approaches in lieu of existing level crossing No. RV 71 at Km 435 on NH 217 in the state of Odisha कंस्ट्रक्शन ऑफ़ रॉब एंड इतस अप्प्रोचेस इन लिएउ ऑफ़ एक्सिस्टिंग लेवल क्रासिंग No. रव ७१ ात कम ४३५ ों नह २१७ इन थे स्टेट ऑफ़ ओडिशा,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51546,10.0,0.0,10.0,0.0036
51551,MO/2018/51551,Acquistion of land National Highway No. 106 (Birpur- Bihpur Section) From Km. 0.00 to Km. 136.00 in the state of bihar.. बिहार राज्य में राष्ट्रीय राजमार्ग संख्या 106 के कि0मी0 0.00 से कि0मी0 136.00 तक ( बीरपुर -बिहपुर खंड ) पर भूमि का अधिग्रहण |,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51551,110.0,67.038,42.962,0.0
51554,MO/2018/51554,Preparation of Feasibility study and DPR Of widening of road to suitable lane configuration i/e construction of bridge and culverts in km.182 to 266/6 (Total length 84.6 km.) and for Harda-timarni bypass (using study carried out by previous consultant)on NH 59 A in the state of Madhya Pradesh प्रिपरेशन ऑफ़ फिजिबिलिटी स्टडी एंड DPR ऑफ़ विडेनिंग ऑफ़ रोड तो सूटेबल लेन कॉन्फ़िगरेशन i/इ कंस्ट्रक्शन ऑफ़ ब्रिज एंड कल्वेर्ट्स इन km.१८२ तो 266/६ (टोटल लेंथ 84.६ km.) एंड फॉर हरदा Harda-टिमरनी बाईपास (ुसिंग स्टडी कर्रिएद आउट बी प्रीवियस consultant)ों नह ५९ ा इन थे स्टेट ऑफ़ मध्य प्रदेश,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51554,81.45,0.0,81.45,0.0
52568,MO/2018/52568,Rehabilitation & Upgrading to 2 lane/ 2 lane with paved shoulder and strengthening of Lalsot Karauli Section of NH -11B (Km. 00+000 to Km.85+000). पेवड़ शोल्डर के साथ 2 लेन / 2 लेन के पुनर्वास और उन्नयन और NH -11 B (KM 00 + 000 से Km.85 + 000) के लालसोट करौली अनुभाग को मजबूत करना,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=52568,130.0,50.0,80.0,0.0
53575,MO/2018/53575,Widening to 2 lane with paved shoulder from Km 0/000 to 41/055 of NH 63 in the state of Odisha विडेनिंग तो २ लेन विथ पवेद सशोल्डर फ्रॉम कम 0/००० तो 41/०५५ ऑफ़ नह ६३ इन थे स्टेट ऑफ़,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=53575,3.8,0.0,3.8,0.0162
