project_type,acquisition_stage,land_area,affected_families,compensation_completion_pct,pending_approvals,legal_disputes,possession_pct,rehabilitation_completion_pct,stakeholder_response_days,elapsed_acquisition_days,delayed
ROAD,VALUATION,40.37,641,76.5,5,1,8.5,54.1,53,687,1
URBAN,NOTIFICATION,82.94,387,53.0,4,0,37.5,37.3,65,917,1
URBAN,REHABILITATION,121.39,442,46.3,1,4,48.2,18.1,27,362,1
INDUSTRIAL,COMPENSATION,26.92,123,31.7,5,2,70.7,35.3,7,579,1
IRRIGATION,NOTIFICATION,25.92,346,50.5,0,2,0.9,14.7,39,793,1
RAILWAY,REHABILITATION,55.4,525,73.9,3,2,76.3,46.7,61,35,1
ROAD,REHABILITATION,206.59,251,76.0,4,3,36.4,34.1,27,1061,1
IRRIGATION,SURVEY,108.74,245,69.9,0,0,62.3,17.7,31,973,0
ROAD,VALUATION,183.45,545,13.7,5,2,15.8,21.9,83,500,1
INDUSTRIAL,SURVEY,283.01,11,57.0,3,2,53.8,74.4,81,299,1
URBAN,COMPLETED,83.82,664,48.7,5,3,48.0,21.1,53,1102,1
INDUSTRIAL,SURVEY,158.13,345,24.3,4,2,15.2,61.6,85,606,1
INDUSTRIAL,REHABILITATION,52.14,535,61.5,5,4,71.7,85.7,36,1177,1
IRRIGATION,VALUATION,49.98,594,47.1,0,2,48.8,8.3,63,572,1
ROAD,VALUATION,251.06,253,99.1,3,3,4.8,87.0,21,102,1
URBAN,COMPLETED,28.94,252,83.5,3,3,66.9,51.4,26,847,1
INDUSTRIAL,VALUATION,48.86,300,22.1,0,3,69.2,2.7,7,954,1
INDUSTRIAL,NOTIFICATION,48.05,397,81.8,4,2,33.7,32.2,56,980,1
ROAD,NOTIFICATION,279.01,206,24.4,4,2,63.8,39.6,66,895,1
IRRIGATION,POSSESSION,78.08,37,23.3,4,3,95.4,73.3,56,341,1
RAILWAY,REHABILITATION,284.31,178,87.9,0,3,69.4,35.5,61,962,1
INDUSTRIAL,VALUATION,167.89,436,33.2,2,1,50.8,60.9,23,470,1
IRRIGATION,COMPLETED,146.59,173,59.9,0,2,79.5,37.9,19,542,1
URBAN,NOTIFICATION,112.37,450,15.8,0,4,45.9,7.3,32,616,1
IRRIGATION,SURVEY,194.48,314,78.3,0,1,74.8,57.8,11,670,1
IRRIGATION,REHABILITATION,64.03,369,31.9,2,2,86.5,64.0,45,1084,1
IRRIGATION,SURVEY,143.35,515,19.7,2,2,45.9,34.6,55,84,1
RAILWAY,COMPLETED,67.19,390,59.0,1,3,52.1,11.5,9,994,0
RAILWAY,POSSESSION,71.27,559,45.7,4,1,83.7,4.8,4,893,1
INDUSTRIAL,NOTIFICATION,15.74,321,92.6,1,2,75.7,99.0,12,90,0
RAILWAY,SURVEY,55.35,42,9.6,0,3,56.9,6.4,30,583,1
IRRIGATION,REHABILITATION,255.48,20,23.2,0,4,20.5,67.4,77,1187,1
INDUSTRIAL,POSSESSION,68.96,220,98.0,5,4,99.8,38.9,8,417,1
ROAD,SURVEY,178.81,40,30.7,5,4,32.4,98.3,51,293,1
URBAN,COMPLETED,51.68,549,91.5,0,2,10.0,85.8,42,874,1
URBAN,VALUATION,40.27,172,36.5,4,0,89.8,72.9,10,272,1
IRRIGATION,VALUATION,31.03,641,29.3,1,3,17.7,55.9,2,1273,1
ROAD,COMPLETED,234.65,83,67.5,3,3,8.9,77.9,10,538,0
RAILWAY,NOTIFICATION,225.51,329,45.4,0,3,35.9,86.7,47,570,1
URBAN,POSSESSION,35.1,30,14.0,4,1,28.1,1.5,56,1015,1
URBAN,COMPENSATION,28.96,324,51.3,0,0,88.7,86.4,13,160,0
URBAN,SURVEY,56.96,123,95.8,5,0,71.9,79.1,63,908,1
INDUSTRIAL,COMPENSATION,88.89,678,56.4,5,4,29.2,84.6,73,923,1
RAILWAY,VALUATION,64.03,460,92.3,2,4,25.9,58.3,58,1059,1
INDUSTRIAL,VALUATION,124.16,132,51.8,0,0,34.6,98.9,49,1158,1
URBAN,COMPENSATION,51.67,679,58.1,3,3,49.9,97.1,11,1104,0
RAILWAY,NOTIFICATION,74.25,369,59.0,2,3,95.5,43.6,59,482,1
ROAD,NOTIFICATION,128.83,561,33.5,2,2,95.5,97.2,48,833,1
URBAN,COMPENSATION,311.36,617,69.2,1,0,35.2,17.1,79,746,0
IRRIGATION,COMPLETED,49.16,665,58.1,1,0,48.1,34.4,1,900,0
ROAD,NOTIFICATION,127.47,159,83.2,1,1,4.3,37.6,62,1200,1
ROAD,VALUATION,111.44,546,83.9,2,3,38.1,29.0,7,593,1
INDUSTRIAL,VALUATION,131.33,32,82.3,2,1,56.7,6.0,21,1047,1
IRRIGATION,POSSESSION,95.95,464,49.7,1,2,31.4,16.3,10,340,1
URBAN,SURVEY,199.96,51,8.0,5,1,94.4,23.3,15,199,1
RAILWAY,REHABILITATION,36.95,73,39.0,3,1,48.5,3.6,11,130,1
RAILWAY,NOTIFICATION,43.18,300,25.8,1,3,30.9,85.3,19,640,1
ROAD,SURVEY,14.05,660,49.2,5,1,11.4,39.8,6,1230,1
INDUSTRIAL,REHABILITATION,142.27,455,10.4,1,4,93.2,88.8,10,407,1
INDUSTRIAL,COMPLETED,119.14,108,47.1,5,3,60.2,47.2,58,98,1
INDUSTRIAL,COMPENSATION,54.41,10,60.3,1,3,40.3,16.0,81,333,1
INDUSTRIAL,SURVEY,151.5,243,6.1,2,4,94.2,56.4,19,387,1
ROAD,VALUATION,41.21,141,41.0,2,2,58.6,82.4,89,995,1
RAILWAY,COMPLETED,160.47,96,25.1,5,4,48.8,63.5,7,1119,1
IRRIGATION,REHABILITATION,157.22,149,90.7,0,1,63.6,34.8,14,592,0
INDUSTRIAL,VALUATION,225.09,646,74.3,5,2,7.6,69.2,45,771,1
URBAN,COMPLETED,71.46,441,25.2,5,4,56.4,4.1,20,720,1
INDUSTRIAL,COMPENSATION,161.57,186,33.3,4,3,82.5,91.9,37,486,1
ROAD,VALUATION,12.21,108,44.7,5,0,68.5,71.0,26,609,1
URBAN,SURVEY,245.63,10,11.5,5,3,63.7,89.4,21,492,1
IRRIGATION,COMPENSATION,212.39,609,16.5,4,1,71.5,44.8,78,599,1
RAILWAY,REHABILITATION,59.56,568,81.2,5,0,21.4,85.0,26,504,0
IRRIGATION,COMPLETED,131.03,156,15.9,2,0,13.5,9.0,67,1036,1
INDUSTRIAL,NOTIFICATION,87.34,470,53.5,0,2,21.2,62.0,83,1287,1
IRRIGATION,COMPLETED,60.44,362,92.3,1,1,78.3,88.8,52,305,0
RAILWAY,COMPLETED,89.47,9,89.9,4,1,23.9,74.9,13,1242,1
URBAN,COMPENSATION,227.73,20,43.1,0,3,39.2,30.3,19,1029,1
INDUSTRIAL,POSSESSION,257.84,366,5.5,3,0,48.4,12.8,46,531,1
IRRIGATION,COMPLETED,26.88,417,21.1,3,4,79.9,82.6,63,893,1
ROAD,SURVEY,59.56,171,39.6,5,3,37.5,2.5,18,684,1
IRRIGATION,VALUATION,38.93,47,97.2,5,4,9.1,4.4,15,904,1
RAILWAY,POSSESSION,38.45,495,57.1,5,2,87.3,79.4,21,362,1
IRRIGATION,POSSESSION,74.01,537,88.7,3,3,34.1,45.1,16,736,1
INDUSTRIAL,COMPLETED,123.19,262,50.6,2,3,48.5,95.7,35,255,1
URBAN,REHABILITATION,132.16,249,40.6,5,3,61.8,7.1,73,947,1
ROAD,COMPLETED,116.27,605,68.1,1,2,66.2,56.4,64,1068,1
ROAD,NOTIFICATION,92.46,34,95.0,4,0,74.3,38.1,75,437,1
INDUSTRIAL,SURVEY,199.54,625,59.5,3,1,38.8,65.7,85,311,1
INDUSTRIAL,VALUATION,88.76,610,73.8,4,1,10.9,51.3,33,1059,1
ROAD,POSSESSION,35.42,384,92.4,2,0,69.3,18.7,56,102,1
INDUSTRIAL,POSSESSION,57.93,245,75.0,4,0,38.6,4.2,18,707,1
ROAD,NOTIFICATION,129.57,302,89.9,5,3,35.0,42.6,13,896,1
IRRIGATION,NOTIFICATION,80.87,118,40.6,5,1,59.4,19.9,11,465,1
IRRIGATION,VALUATION,93.66,23,94.3,5,3,58.3,72.1,15,1186,1
INDUSTRIAL,SURVEY,83.22,564,87.7,3,2,40.1,70.6,73,548,1
URBAN,COMPENSATION,131.36,600,99.6,3,4,85.6,27.0,46,519,1
ROAD,VALUATION,255.6,237,98.3,3,1,44.0,99.1,26,178,1
RAILWAY,COMPLETED,47.01,523,12.6,1,0,84.9,36.6,52,969,1
IRRIGATION,COMPLETED,126.92,613,57.4,0,3,56.1,14.9,22,1114,0
URBAN,SURVEY,161.15,118,91.9,3,1,84.5,32.3,71,589,1
URBAN,POSSESSION,32.88,227,79.3,2,3,78.3,27.5,49,394,1
INDUSTRIAL,NOTIFICATION,95.55,134,28.7,3,1,93.6,60.3,74,1067,1
RAILWAY,COMPENSATION,191.85,224,57.9,3,0,67.2,66.4,30,614,1
IRRIGATION,NOTIFICATION,29.48,70,99.5,4,1,26.9,24.0,21,1100,1
RAILWAY,SURVEY,76.44,116,79.2,4,1,45.4,36.2,8,322,1
URBAN,REHABILITATION,48.02,653,79.4,5,0,64.5,52.2,35,623,1
IRRIGATION,POSSESSION,104.7,696,12.8,2,3,88.3,47.2,33,340,1
ROAD,NOTIFICATION,105.97,512,53.6,0,0,30.6,79.3,77,674,0
URBAN,POSSESSION,379.14,515,49.6,5,1,12.6,48.1,56,1009,1
RAILWAY,NOTIFICATION,190.6,78,74.0,0,4,6.8,53.9,68,936,1
ROAD,SURVEY,134.2,300,94.4,5,1,15.5,99.7,8,502,1
INDUSTRIAL,COMPENSATION,132.12,642,94.5,2,2,66.6,63.9,53,867,1
URBAN,COMPLETED,63.71,288,58.7,2,4,10.2,24.0,40,1185,1
INDUSTRIAL,REHABILITATION,56.27,116,82.0,1,1,69.3,20.0,52,356,0
IRRIGATION,REHABILITATION,2.52,294,27.6,1,3,90.4,51.5,76,1212,1
IRRIGATION,COMPENSATION,149.17,663,84.3,3,4,22.0,0.2,50,673,1
IRRIGATION,SURVEY,48.24,318,86.6,0,1,61.1,40.5,60,1178,1
URBAN,SURVEY,36.53,571,9.8,4,3,66.6,18.3,78,911,1
RAILWAY,VALUATION,156.68,561,90.6,3,4,67.2,65.5,66,1208,1
URBAN,COMPLETED,142.78,235,28.6,5,4,80.5,13.2,26,612,1
ROAD,NOTIFICATION,45.98,219,73.1,2,3,71.0,29.1,28,959,1
URBAN,COMPENSATION,246.72,8,81.1,5,2,46.2,5.2,71,528,1
ROAD,REHABILITATION,175.68,13,60.3,3,1,15.0,42.6,70,648,1
INDUSTRIAL,COMPLETED,83.19,464,79.1,2,2,69.4,34.3,8,852,1
INDUSTRIAL,SURVEY,51.45,621,33.3,5,4,41.7,63.6,52,1240,1
ROAD,VALUATION,26.61,144,56.9,1,1,45.1,47.0,26,510,0
IRRIGATION,VALUATION,37.04,685,82.1,1,3,78.5,68.8,58,584,1
INDUSTRIAL,REHABILITATION,92.96,134,42.3,3,1,36.5,17.1,41,1225,1
RAILWAY,NOTIFICATION,126.77,470,25.1,5,3,53.6,39.5,65,1255,1
ROAD,COMPENSATION,150.59,609,93.5,1,1,27.6,57.9,65,1129,1
RAILWAY,COMPENSATION,87.8,130,41.1,0,3,59.5,86.6,43,1195,1
ROAD,VALUATION,141.17,72,37.3,1,2,96.2,2.5,70,1278,1
RAILWAY,VALUATION,62.75,378,55.6,0,1,61.9,6.5,1,375,0
URBAN,REHABILITATION,64.55,473,61.6,1,2,48.5,99.4,58,343,0
ROAD,VALUATION,41.3,647,20.0,1,2,64.4,74.6,87,240,0
URBAN,COMPENSATION,17.22,572,7.1,2,2,60.3,65.1,62,893,1
URBAN,REHABILITATION,96.14,475,37.4,0,3,7.1,97.5,29,588,0
RAILWAY,COMPLETED,92.22,5,86.9,5,1,40.0,89.7,56,768,1
URBAN,NOTIFICATION,24.98,313,63.5,0,2,28.8,77.7,55,551,0
RAILWAY,COMPLETED,45.42,92,84.3,1,3,82.1,3.6,16,418,0
URBAN,NOTIFICATION,81.16,488,21.8,1,0,95.3,4.6,82,119,1
IRRIGATION,SURVEY,137.71,139,21.9,0,3,20.6,11.8,11,71,1
RAILWAY,NOTIFICATION,250.75,144,84.1,0,0,59.4,61.1,35,1135,0
ROAD,VALUATION,65.27,425,84.3,2,4,70.6,14.9,67,259,1
INDUSTRIAL,COMPLETED,82.71,157,69.1,3,1,89.1,96.9,27,690,1
INDUSTRIAL,SURVEY,181.39,647,48.8,2,1,38.6,53.9,40,597,1
URBAN,SURVEY,4.45,492,16.0,5,0,25.9,45.0,64,1141,1
INDUSTRIAL,SURVEY,156.02,101,55.1,4,0,3.2,12.4,55,439,1
IRRIGATION,REHABILITATION,58.34,537,81.8,3,3,20.3,4.7,41,526,1
ROAD,REHABILITATION,114.53,642,19.8,5,0,63.1,78.2,77,305,1
INDUSTRIAL,VALUATION,183.95,389,74.3,2,4,92.0,42.3,62,257,1
URBAN,POSSESSION,115.33,233,69.5,0,2,12.7,5.9,8,923,1
INDUSTRIAL,SURVEY,104.05,102,69.6,4,4,71.1,33.1,49,36,1
ROAD,POSSESSION,138.24,260,10.4,2,1,92.1,78.5,32,352,1
URBAN,VALUATION,142.69,350,74.5,5,3,54.9,33.2,84,320,1
URBAN,SURVEY,91.11,319,49.6,1,2,16.6,86.7,32,1266,1
IRRIGATION,SURVEY,135.92,191,60.6,4,0,91.7,14.4,37,1202,1
RAILWAY,NOTIFICATION,184.36,137,96.5,5,1,64.3,78.1,7,289,1
RAILWAY,POSSESSION,178.14,612,49.3,5,2,49.5,92.5,86,909,1
INDUSTRIAL,POSSESSION,144.95,159,69.2,1,0,93.5,37.9,59,59,0
INDUSTRIAL,COMPENSATION,68.99,685,9.4,1,0,7.2,76.5,48,346,0
INDUSTRIAL,SURVEY,164.95,128,91.7,3,2,98.3,60.3,52,299,1
INDUSTRIAL,POSSESSION,106.91,187,58.1,3,0,72.8,59.7,4,1001,1
INDUSTRIAL,COMPLETED,107.21,167,27.0,0,4,3.9,18.3,64,442,1
RAILWAY,VALUATION,79.01,358,82.5,0,4,63.2,75.6,29,1213,0
URBAN,COMPLETED,131.02,16,91.7,2,1,98.3,76.1,32,927,1
INDUSTRIAL,COMPENSATION,227.07,652,57.7,1,4,51.9,0.4,51,491,1
INDUSTRIAL,COMPENSATION,87.33,173,26.7,2,1,22.9,44.0,3,1082,1
IRRIGATION,COMPLETED,223.59,222,40.6,2,3,20.9,51.5,52,40,1
RAILWAY,SURVEY,191.46,459,17.4,0,0,29.9,67.5,62,1286,1
IRRIGATION,REHABILITATION,26.57,290,59.9,3,4,23.2,19.6,65,44,1
INDUSTRIAL,POSSESSION,91.0,213,92.8,5,0,46.3,22.2,20,1033,0
URBAN,SURVEY,143.34,566,88.9,5,0,43.0,28.0,77,107,1
INDUSTRIAL,COMPENSATION,143.42,85,14.5,5,3,65.6,20.4,6,505,1
RAILWAY,COMPENSATION,191.49,90,85.8,3,0,83.5,3.9,27,694,1
IRRIGATION,SURVEY,44.26,626,55.3,4,4,66.9,17.4,56,568,1
URBAN,COMPLETED,12.43,352,31.9,0,3,29.8,31.3,20,1283,1
URBAN,COMPLETED,72.05,301,95.8,1,4,17.9,69.1,18,1120,0
INDUSTRIAL,COMPLETED,40.51,605,13.7,5,0,26.8,3.5,32,1293,1
INDUSTRIAL,VALUATION,55.8,5,90.9,5,2,75.9,74.9,20,1278,1
RAILWAY,VALUATION,64.14,320,71.4,0,3,29.0,80.2,61,346,0
INDUSTRIAL,VALUATION,100.59,333,58.5,1,3,2.6,2.7,10,677,1
RAILWAY,POSSESSION,89.24,620,71.4,3,2,91.2,43.0,15,978,1
ROAD,NOTIFICATION,148.16,500,19.0,0,0,64.6,38.3,2,860,0
INDUSTRIAL,COMPLETED,125.83,137,47.2,2,2,3.6,92.8,23,818,1
IRRIGATION,VALUATION,71.58,68,92.6,3,2,63.7,78.1,51,903,1
ROAD,POSSESSION,50.35,276,73.1,1,3,56.9,39.9,54,608,1
ROAD,NOTIFICATION,141.13,313,50.7,4,4,16.9,74.7,36,775,1
ROAD,REHABILITATION,252.03,323,82.7,5,2,35.0,7.8,28,962,1
INDUSTRIAL,VALUATION,199.94,227,83.8,3,2,99.2,4.4,21,847,1
URBAN,COMPENSATION,99.84,18,86.3,0,3,88.3,27.8,10,556,0
RAILWAY,COMPLETED,216.6,7,93.6,0,2,77.9,32.3,88,330,0
INDUSTRIAL,SURVEY,153.62,516,24.6,3,2,92.5,4.1,36,230,1
IRRIGATION,POSSESSION,179.01,343,69.9,1,1,7.9,5.5,31,1275,1
ROAD,POSSESSION,157.64,493,73.8,2,4,59.8,83.1,81,97,1
RAILWAY,POSSESSION,16.59,170,26.3,0,3,14.3,68.8,24,1141,1
IRRIGATION,POSSESSION,86.06,684,8.3,3,3,64.9,82.3,34,373,1
INDUSTRIAL,NOTIFICATION,135.19,375,74.0,0,2,7.6,88.7,7,855,1
ROAD,COMPLETED,138.94,297,79.4,4,0,2.0,32.3,54,1000,1
INDUSTRIAL,COMPENSATION,40.55,69,71.0,3,3,74.1,19.8,37,792,1
IRRIGATION,VALUATION,52.54,215,31.0,0,1,2.5,13.4,69,876,1
RAILWAY,POSSESSION,143.59,466,58.9,5,0,3.4,87.0,31,1091,1
INDUSTRIAL,VALUATION,88.63,205,99.6,5,0,49.6,90.3,35,1222,0
ROAD,POSSESSION,90.64,79,19.9,1,3,73.8,17.7,3,919,1
URBAN,REHABILITATION,31.62,324,41.1,3,1,49.9,20.2,45,494,1
IRRIGATION,REHABILITATION,136.88,646,70.5,0,2,51.8,39.4,23,932,1
URBAN,REHABILITATION,90.18,221,60.0,5,4,22.4,78.5,71,527,1
IRRIGATION,COMPENSATION,126.18,199,45.9,2,1,91.5,87.1,11,232,1
IRRIGATION,SURVEY,225.57,656,96.1,3,1,1.0,79.7,64,1151,1
INDUSTRIAL,COMPLETED,207.16,245,16.6,5,3,87.4,9.7,85,621,1
URBAN,VALUATION,142.82,309,57.9,5,0,4.9,36.7,56,1288,1
IRRIGATION,COMPLETED,179.19,28,48.1,4,1,73.2,64.4,14,1226,1
ROAD,NOTIFICATION,3.98,676,83.4,5,0,52.0,69.0,75,45,0
URBAN,POSSESSION,174.62,562,51.2,3,1,95.1,53.7,16,552,1
URBAN,COMPENSATION,144.02,78,7.1,4,1,44.6,93.5,7,1080,1
URBAN,NOTIFICATION,35.18,271,99.0,2,4,78.2,84.7,74,233,1
RAILWAY,NOTIFICATION,114.9,142,59.8,1,1,94.8,31.5,72,385,0
RAILWAY,REHABILITATION,35.89,424,56.7,0,1,22.0,64.0,7,449,0
URBAN,REHABILITATION,130.19,259,77.5,1,4,7.4,14.7,5,515,1
URBAN,REHABILITATION,13.98,196,64.3,0,4,27.3,9.3,13,893,1
URBAN,SURVEY,125.31,9,17.8,0,4,25.7,84.9,72,36,1
ROAD,SURVEY,48.97,592,62.1,1,2,4.4,31.8,57,125,1
IRRIGATION,REHABILITATION,85.13,52,47.6,4,4,46.6,65.1,62,957,1
INDUSTRIAL,REHABILITATION,315.46,228,62.0,3,1,64.7,83.2,61,362,0
INDUSTRIAL,SURVEY,168.52,364,55.7,4,1,90.0,45.2,68,1238,0
URBAN,REHABILITATION,178.14,192,92.9,5,4,24.9,10.4,89,375,1
INDUSTRIAL,COMPENSATION,101.6,134,37.8,4,1,14.0,53.4,13,1295,1
IRRIGATION,COMPLETED,84.05,243,79.8,5,2,21.2,1.9,14,961,1
RAILWAY,REHABILITATION,88.4,305,68.6,5,2,84.0,88.1,20,833,1
INDUSTRIAL,COMPLETED,131.94,502,79.6,0,4,22.2,85.3,54,791,1
URBAN,NOTIFICATION,125.67,89,20.0,2,3,99.4,92.8,61,880,1
URBAN,SURVEY,44.59,530,74.1,1,1,1.4,58.0,56,1050,1
RAILWAY,REHABILITATION,68.44,29,72.5,0,1,90.3,7.7,74,963,1
ROAD,VALUATION,160.8,466,38.5,3,4,39.7,17.0,67,646,1
URBAN,COMPLETED,60.38,354,68.2,5,1,55.1,79.3,23,1021,1
IRRIGATION,POSSESSION,88.6,128,8.6,5,0,15.5,79.8,57,679,1
INDUSTRIAL,REHABILITATION,105.95,534,77.3,4,2,31.0,75.9,36,583,1
URBAN,NOTIFICATION,351.0,151,59.5,4,2,73.5,60.7,89,869,1
RAILWAY,POSSESSION,234.09,601,39.1,5,0,99.3,99.7,14,435,0
INDUSTRIAL,COMPENSATION,174.11,164,90.6,3,0,12.3,14.9,89,361,1
ROAD,COMPLETED,77.85,178,82.7,3,2,68.0,62.1,88,613,1
URBAN,VALUATION,228.27,84,49.7,1,3,75.5,10.5,38,422,1
URBAN,COMPLETED,84.74,369,92.8,4,3,76.5,15.3,4,1212,1
RAILWAY,COMPLETED,49.93,536,59.5,3,1,15.6,4.5,1,907,1
RAILWAY,VALUATION,386.85,97,33.8,5,3,99.3,19.6,39,921,1
INDUSTRIAL,REHABILITATION,52.98,352,48.1,4,3,93.3,56.8,53,318,1
URBAN,COMPLETED,87.58,527,75.0,3,1,37.9,42.0,20,838,1
URBAN,NOTIFICATION,202.5,661,32.6,3,2,62.6,52.4,54,396,1
IRRIGATION,VALUATION,36.17,615,8.2,3,4,100.0,39.3,42,170,1
IRRIGATION,VALUATION,44.67,562,10.7,0,4,51.5,57.0,72,698,1
URBAN,NOTIFICATION,76.92,234,94.4,2,1,69.1,22.2,65,103,1
URBAN,COMPLETED,147.65,172,25.5,2,0,26.4,69.0,75,1014,1
ROAD,COMPLETED,140.61,274,46.2,3,3,40.0,77.1,79,436,1
RAILWAY,NOTIFICATION,133.41,451,76.9,1,0,76.9,6.2,51,1270,0
ROAD,COMPLETED,117.39,284,11.5,2,3,41.5,46.3,30,483,1
INDUSTRIAL,COMPENSATION,66.38,353,96.4,3,0,60.7,53.0,84,1096,0
ROAD,COMPLETED,46.82,350,98.0,5,4,42.5,7.1,4,1131,1
INDUSTRIAL,VALUATION,186.08,431,67.3,5,1,81.0,31.6,54,625,1
RAILWAY,SURVEY,182.69,188,13.8,0,3,79.2,66.5,34,726,1
IRRIGATION,NOTIFICATION,103.8,315,82.2,1,4,20.9,87.6,84,335,0
IRRIGATION,COMPLETED,40.16,654,26.7,1,2,86.9,1.4,18,706,1
URBAN,REHABILITATION,39.3,602,57.1,2,2,2.1,7.0,31,177,1
RAILWAY,COMPLETED,40.0,80,20.7,0,2,91.0,3.6,6,468,1
URBAN,COMPLETED,294.28,670,46.5,3,1,11.5,31.5,24,674,1
URBAN,REHABILITATION,238.48,79,25.7,4,2,9.9,47.3,12,713,1
URBAN,VALUATION,150.35,437,99.4,3,0,38.5,33.8,61,1056,1
IRRIGATION,VALUATION,362.66,556,65.7,3,3,45.1,33.4,6,101,1
RAILWAY,VALUATION,124.79,317,58.5,4,2,74.2,75.9,86,472,1
INDUSTRIAL,NOTIFICATION,146.59,614,77.4,4,1,17.1,96.1,34,1171,1
RAILWAY,COMPENSATION,107.13,577,68.1,4,4,68.8,93.0,24,1286,1
IRRIGATION,SURVEY,130.71,158,41.8,0,1,0.8,63.6,40,325,1
IRRIGATION,COMPLETED,104.61,33,81.4,0,0,63.2,95.3,33,411,0
IRRIGATION,NOTIFICATION,79.26,190,11.3,4,0,10.0,24.0,79,171,1
INDUSTRIAL,SURVEY,203.83,108,36.7,0,1,74.3,18.7,49,983,1
INDUSTRIAL,VALUATION,56.62,290,14.6,4,0,15.4,40.6,67,1122,1
URBAN,POSSESSION,283.0,697,93.6,3,1,48.1,43.6,44,1213,1
INDUSTRIAL,COMPENSATION,67.44,192,14.1,3,4,21.5,77.6,42,1284,1
URBAN,VALUATION,108.0,589,43.7,0,4,82.3,92.5,50,975,1
URBAN,VALUATION,122.4,205,87.0,3,1,53.8,87.1,84,279,1
URBAN,SURVEY,230.27,314,53.8,2,1,88.4,46.6,37,1203,1
